id,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_host_years,review_scores_rating,estimated_occupancy_l365d,price,minimum_nights,maximum_nights,number_of_reviews_ltm,reviews_per_month,estimated_revenue_l365d,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,num_amenities,bedrooms,beds,bathrooms,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_has_profile_pic,host_identity_verified
1701018288335250358,Habitación doble cerca al aeropuerto,476259164,AndrÃ©s,3,3.0,,0,65000.0,1.0,365.0,0,0.0,0.0,Fontibon,4.668032520243747,-74.12049399,Private Room In Home,Private Room,2,15,1.0,1.0,2.0,362,,,,,,,True,True,True
1701028485388569681,Las Nieves 2 Bedroom apartment in the Sky,36206112,Andres,11,9.0,,0,305836.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.6084809,-74.0668141,Entire Rental Unit,Entire Home/Apt,4,8,2.0,2.0,2.0,362,,,,,,,False,True,True
1701042547422886514,"Muy lindo apto, cómodo y tranquilo. Centro de Bog.",489068318,Sebastian,3,1.0,,0,133975.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.6037927,-74.0729738,Entire Rental Unit,Entire Home/Apt,2,29,1.0,1.0,1.0,330,,,,,,,False,True,True
1701064807899404472,Apartamento Moderno Parque 93 Bogota,697641579,Nelson,1,1.0,5.0,12,150350.0,1.0,365.0,2,2.0,1804200.0,Chapinero,4.678651269526566,-74.05238204,Entire Rental Unit,Entire Home/Apt,2,63,1.0,1.0,1.0,351,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1701069461328243683,Habitación amoblada,718580388,Gentil,0,0.0,,0,89469.0,1.0,365.0,0,0.0,0.0,Kennedy,4.649049469005798,-74.13397595,Private Room In Rental Unit,Private Room,2,13,1.0,1.0,1.0,364,,,,,,,False,True,True
1701096144204368541,Habitación doble cerca al aeropuerto,476259164,AndrÃ©s,3,3.0,,0,65000.0,1.0,365.0,0,0.0,0.0,Fontibon,4.668391290260495,-74.120446,Private Room In Home,Private Room,2,15,1.0,1.0,2.0,362,,,,,,,True,True,True
1701466200580058788,Spectacular apartment near Parque 93,148368283,InvesTown,8,8.0,5.0,6,217377.33,2.0,90.0,1,1.0,1304264.0,Chapinero,4.68053,-74.05335,Entire Rental Unit,Entire Home/Apt,3,31,1.0,2.0,1.0,346,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1701493337529610228,Apto Confort Edificio Cultural Renovado BGT,288180213,Yesika,6,2.0,,0,95837.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.60906,-74.07227,Entire Rental Unit,Entire Home/Apt,2,38,1.0,1.0,1.0,347,,,,,,,True,True,True
1701523015543440377,Apartamento Privado WiFi Excelente Ubicación,103744044,Angie,9,3.0,,0,128953.0,1.0,365.0,0,0.0,0.0,Barrios Unidos,4.677582,-74.0808699,Entire Rental Unit,Entire Home/Apt,2,6,1.0,2.0,1.0,363,,,,,,,False,True,True
1701552226292117972,Modern Suite in Chicó – Near Parque 93 & Dining,331126425,Gina Paola,6,6.0,,0,417670.78,1.0,365.0,0,0.0,0.0,Chapinero,4.674157399999999,-74.0465018,Entire Rental Unit,Entire Home/Apt,3,10,1.0,1.0,1.5,349,,,,,,,True,True,True
